번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
987,개방화장실,법제3조제16호-영제3조제1항제1호,성수주유소,서울특별시 성동구 뚝섬로 352 (성수동1가),서울특별시 성동구 성수동1가 33-96,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
988,개방화장실,법제3조제16호-영제3조제1항제1호,세원주유소,서울특별시 성동구 광나루로 184 (성수동1가),서울특별시 성동구 성수동1가 13-11,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
989,개방화장실,법제3조제16호-영제3조제1항제1호,순복음교회 성동성전,"서울특별시 성동구 천호대로 316, 순복음교회 성동성전 (용답동)",서울특별시 성동구 용답동 1-4 순복음교회 성동성전,1,3,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
990,개방화장실,법제3조제16호-영제3조제1항제1호,신세계오피스텔,"서울특별시 성동구 행당로 6, 신세계오피스텔 (금호동1가)",서울특별시 성동구 금호동1가 481-5 신세계오피스텔,1,1,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
991,개방화장실,법제3조제16호-영제3조제1항제1호,아이콘주유소,"서울특별시 성동구 고산자로 273, 도선현대주유소 (도선동)",서울특별시 성동구 도선동 2-4 도선현대주유소,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
992,개방화장실,법제3조제16호-영제3조제1항제1호,영동테크노타워,"서울특별시 성동구 아차산로 103, 영동테크노타워 (성수동2가)",서울특별시 성동구 성수동2가 300-4 영동테크노타워,2,3,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
993,개방화장실,법제3조제16호-영제3조제1항제1호,옥수동성당,"서울특별시 성동구 독서당로 207, 옥수동성당 (옥수동)",서울특별시 성동구 옥수동 566 옥수동성당,3,3,0,0,0,0,6,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
994,개방화장실,법제3조제16호-영제3조제1항제1호,옥수리버젠상가 화장실,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 (옥수동)",서울특별시 성동구 옥수동 561 래미안 옥수 리버젠 상가,4,4,0,0,0,0,4,2,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
995,개방화장실,법제3조제16호-영제3조제1항제1호,옥수주유소,서울특별시 성동구 독서당로 168 (옥수동),서울특별시 성동구 옥수동 449-5,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
996,개방화장실,법제3조제16호-영제3조제1항제1호,왕십리천주교회,"서울특별시 성동구 무학로10길 21, 왕십리천주교회 (홍익동)",서울특별시 성동구 홍익동 236 왕십리천주교회,2,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
997,개방화장실,법제3조제16호-영제3조제1항제1호,우인빌딩,서울특별시 성동구 왕십리로 339 (하왕십리동),서울특별시 성동구 하왕십리동 966-2,1,1,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
998,개방화장실,법제3조제16호-영제3조제1항제1호,응봉대림1차 노변상가,"서울특별시 성동구 독서당로 398, 노선상가 (응봉동)",서울특별시 성동구 응봉동 100 노선상가,1,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
999,개방화장실,법제3조제16호-영제3조제1항제1호,이영빌딩,서울특별시 성동구 동일로 41 (성수동2가),서울특별시 성동구 성수동2가 235-1,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1000,개방화장실,법제3조제16호-영제3조제1항제1호,장안빌딩,"서울특별시 성동구 천호대로 320, 장안빌딩 (용답동)",서울특별시 성동구 용답동 2-3 장안빌딩,2,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1001,개방화장실,법제3조제16호-영제3조제1항제1호,정호주유소,서울특별시 성동구 고산자로 303 (마장동),서울특별시 성동구 마장동 573-1,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1002,개방화장실,법제3조제16호-영제3조제1항제1호,청계로주유소,"서울특별시 성동구 청계천로 454, 청계주유소 (하왕십리동)",서울특별시 성동구 하왕십리동 291-9 청계주유소,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1003,개방화장실,법제3조제16호-영제3조제1항제1호,텐즈힐상가(203동),"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 811 텐즈힐,2,3,0,0,0,0,7,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1004,개방화장실,법제3조제16호-영제3조제1항제1호,텐즈힐상가(214동),"서울특별시 성동구 마장로 137, 214동 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 811 텐즈힐,2,3,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1005,개방화장실,법제3조제16호-영제3조제1항제1호,한남하이츠아파트,"서울특별시 성동구 독서당로 160, 한남하이츠아파트 (옥수동)",서울특별시 성동구 옥수동 220-1 한남하이츠아파트,2,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1006,개방화장실,법제3조제16호-영제3조제1항제1호,행당대림리빙프라자,"서울특별시 성동구 행당로 87, 행당동 대림아파트 (행당동)",서울특별시 성동구 행당동 347 행당동 대림아파트,1,3,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1007,개방화장실,법제3조제16호-영제3조제1항제1호,행당한신아파트상가,"서울특별시 성동구 고산자로 164 (행당동, 행당한신아파트)",서울특별시 성동구 행당동 349 행당한신아파트,2,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1008,개방화장실,법제3조제16호-영제3조제1항제1호,효진주유소,"서울특별시 성동구 동일로 129, 효진주유소 (성수동2가)",서울특별시 성동구 성수동2가 19-1 효진주유소,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1009,개방화장실,법제3조제16호-영제3조제1항제1호,응봉공원 응봉관리소,서울특별시 성동구 금호로172-1,서울특별시 금호로172-1,3,4,0,0,0,0,4,0,0,동부공원녹지사업소 응봉공원,,상시,00:00~24:00,,,,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-20
1010,개방화장실,법제3조제16호-영제3조제1항제1호,금호주유소,"서울특별시 성동구 금호로 39, 금호주유소 (금호동4가)",서울특별시 성동구 금호동4가 187-2 금호주유소,1,1,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1011,개방화장실,법제3조제16호-영제3조제1항제1호,동부가스충전소,서울특별시 성동구 광나루로 200 (성수동2가),서울특별시 성동구 성수동2가 284-108,1,1,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1012,개방화장실,법제3조제16호-영제3조제1항제1호,동창주유소,"서울특별시 성동구 천호대로 324, 동창주유소 (용답동)",서울특별시 성동구 용답동 5-4 동창주유소,1,2,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1013,개방화장실,법제3조제16호-영제3조제1항제1호,명성주유소,서울특별시 성동구 천호대로 384 (용답동),서울특별시 성동구 용답동 229-2,1,1,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1014,개방화장실,법제3조제16호-영제3조제1항제1호,삼우주유소,"서울특별시 성동구 천호대로 392, 삼우주유소 (용답동)",서울특별시 성동구 용답동 229-5 삼우주유소,1,1,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1015,개방화장실,법제3조제16호-영제3조제1항제1호,성수만세주유소,"서울특별시 성동구 왕십리로 109, 성수만세주유소 (성수동1가)",서울특별시 성동구 성수동1가 656-1208 성수만세주유소,1,1,0,0,0,0,1,0,0,주유소,,상시,06:00~23:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1016,개방화장실,법제3조제16호-영제3조제1항제1호,JK빌딩,"서울특별시 성동구 성수이로20길 16, 제이케이타워 1층 (성수동2가)",서울특별시 성동구 성수동2가 273-36 제이케이타워,2,1,1,1,0,0,2,1,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1017,개방화장실,법제3조제16호-영제3조제1항제1호,KD타워 화장실,"서울특별시 성동구 왕십리로 125, KD타워 (성수동1가)",서울특별시 성동구 성수동1가 656-292 KD타워,2,3,0,0,0,0,5,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1018,개방화장실,법제3조제16호-영제3조제1항제1호,KLP제2주유소,서울특별시 성동구 동일로 249 (송정동),서울특별시 성동구 송정동 83,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1019,개방화장실,법제3조제16호-영제3조제1항제1호,군자동주유소,"서울특별시 성동구 천호대로 446, 군자동주유소 (용답동)",서울특별시 성동구 용답동 236-1 군자동주유소,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1020,개방화장실,법제3조제16호-영제3조제1항제1호,금관빌딩,"서울특별시 성동구 천호대로 328, 금관빌딩 (용답동)",서울특별시 성동구 용답동 5-3 금관빌딩,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1021,개방화장실,법제3조제16호-영제3조제1항제1호,나래타워,서울특별시 성동구 고산자로 234 (행당동),서울특별시 성동구 행당동 267-23,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1022,개방화장실,법제3조제16호-영제3조제1항제1호,도루코주유소,"서울특별시 성동구 아차산로 180, 도루코주유소 (성수동2가)",서울특별시 성동구 성수동2가 19-14 도루코주유소,1,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1023,개방화장실,법제3조제16호-영제3조제1항제1호,동일주유소,"서울특별시 성동구 광나루로 254, 동일주유소 (성수동2가)",서울특별시 성동구 성수동2가 289-2 동일주유소,2,2,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1024,개방화장실,법제3조제16호-영제3조제1항제1호,뚝도시장 1번,서울특별시 성동구 성수이로 32-15 (성수동2가),서울특별시 성동구 성수동2가 335-16,1,3,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1025,개방화장실,법제3조제16호-영제3조제1항제1호,뚝도시장 2번,서울특별시 성동구 성수이로 32-15 (성수동2가),서울특별시 성동구 성수동2가 335-16,1,4,0,0,0,0,5,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1026,개방화장실,법제3조제16호-영제3조제1항제1호,리빠똥호프,"서울특별시 성동구 왕십리로 357, 목치과 (하왕십리동)",서울특별시 성동구 하왕십리동 946-40 목치과,1,1,0,0,0,0,1,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1027,개방화장실,법제3조제16호-영제3조제1항제1호,무학빌딩(레노스블랑쉬),"서울특별시 성동구 고산자로 202, 무학예식장 (행당동)",서울특별시 성동구 행당동 319-36 무학예식장,2,7,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1028,개방화장실,법제3조제16호-영제3조제1항제1호,미타사,"서울특별시 성동구 독서당로40길 21, 미타사 (옥수동)",서울특별시 성동구 옥수동 395-1 미타사,1,2,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1029,개방화장실,법제3조제16호-영제3조제1항제1호,삼부아파트 상가,"서울특별시 성동구 왕십리로 280(행당동, 서울숲삼부아파트)",서울특별시 성동구 행당동 147 서울숲삼부아파트,2,2,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1030,개방화장실,법제3조제16호-영제3조제1항제1호,서울숲코오롱디지털타워,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 (성수동2가)",서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워,3,3,0,0,0,0,2,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,00:00~24:00,,,,민간소유-법인,수세식,N,N,없음,Y,N,없음,,2023-12-20
1031,개방화장실,법제3조제16호-영제3조제1항제1호,서울숲한라시그마밸리2차,"서울특별시 성동구 성수이로7길 7, 서울숲 한라시그마밸리Ⅱ (성수동2가)",서울특별시 성동구 성수동2가 333-15 서울숲 한라시그마밸리Ⅱ,1,2,0,0,0,0,3,0,0,서울특별시 성동구청 청소행정과 민간개방,,상시,07:00~19:00,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2023-12-20
1032,개방화장실,법제3조제17호-영제3조제2항제3호,빌딩 숨(EMK 뮤지컬 컴퍼니),"서울특별시 강남구 논현로 176, 빌딩 숨 (도곡동)",서울특별시 강남구 도곡동 411 빌딩 숨,1,1,1,0,0,0,2,1,0,민간,,정시,09:00~19:00,,,,민간소유-개인,수세식,Y,Y,장애인화장실,Y,N,없음,,2023-11-09
1033,개방화장실,법제3조제16호-영제3조제1항제1호,힐링센터(코엑스),"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",서울특별시 강남구 삼성동 159 코엑스 T101호,2,2,0,0,0,0,2,0,0,강남구 관광진흥과,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,없음,,2022-11-01
1034,공중화장실,법제3조제16호-영제3조제1항제1호,일원1동 기계식 공영주차장,서울특별시 강남구 양재대로27길 5 (일원동),서울특별시 강남구 일원동 684-8,1,1,0,0,0,0,1,0,0,강남구도시관리공단,,상시,,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,여자화장실,Y,N,없음,,2022-11-01
1035,공중화장실,법제3조제16호-영제3조제1항제1호,봉은테니스장,"서울특별시 강남구 봉은사로 513, 봉은테니스장 (삼성동)",서울특별시 강남구 삼성동 75 봉은테니스장,1,1,0,0,0,0,1,0,0,강남구도시관리공단,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,없음,,2022-11-01
1036,개방화장실,법제3조제16호-영제3조제1항제1호,개포1주민센터,"서울특별시 강남구 개포로 303 (개포동, 현대1차아파트)",서울특별시 강남구 개포동 653 현대1차아파트 상가(임시청사),2,2,0,0,0,0,2,0,0,강남구 문화재단,,정시,9:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,N,없음,,2022-11-01
1037,공중화장실,법제3조제16호-영제3조제1항제1호,역삼문화공원 제1호 공영주차장,"서울특별시 강남구 테헤란로7길 21, 국립어린이청소년도서관 (역삼동)",서울특별시 강남구 역삼동 635-1 국립어린이청소년도서관,1,1,0,0,0,0,1,0,0,강남구도시관리공단,,상시,,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,여자화장실,N,N,없음,,2022-11-01
1038,개방화장실,,개나리 주유소,서울특별시 언주로 423 (역삼동),,3,0,0,0,0,0,0,0,0,개인,,,상시,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-11-28
1039,개방화장실,,경남상가,서울특별시 언주로85길 13(역삼동),,8,0,0,0,0,0,0,0,0,개인,,,상시,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-11-28
1040,개방화장실,,대건빌딩 하나이비인후과,서울특별시 역삼로 245 (역삼동),,6,0,0,0,0,0,0,0,0,개인,,,08:30~18:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-11-28
1041,개방화장실,법제3조제17호-영제3조제2항제3호,원앙빌딩(한국마사회강남지점),서울특별시 도산대로 529 (청담동),,8,0,0,0,0,0,0,0,0,개인,02-6006-5200,정시,08:00~18:00,,37.5250900837,127.0513000316,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2022-11-28
1042,개방화장실,법제3조제17호-영제3조제2항제3호,화천회관빌딩,서울특별시 영동대로 702 (청담동),,2,2,0,0,0,0,2,0,0,개인,02-516-4920,정시,07;00~22:00,2010-12,37.52047964,127.0575760814,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,여자화장실,N,N,없음,,2010-01-01
1043,개방화장실,법제3조제17호-영제3조제2항제1호,영광빌딩,서울특별시 강남구 언주로 333 (역삼동),서울특별시 강남구 역삼동 773-3,1,1,0,0,0,0,1,0,0,민간,02-567-5869,정시,07:00~22:30,2023-03,37.4975740017,127.0447529770,민간소유-개인,수세식,N,N,없음,N,N,없음,,2023-03-01
1044,개방화장실,법제3조제17호-영제3조제2항제3호,삼성애니텔,"서울특별시 강남구 도곡로3길 25, 삼성애니텔 (역삼동)",서울특별시 강남구 역삼동 837-17 삼성애니텔,2,1,0,0,0,0,2,0,0,민간,,상시,,,,,민간소유-개인,수세식,N,N,없음,N,N,없음,,2023-12-08
1045,개방화장실,법제3조제11호,대성석유(주)동호주유소,"서울특별시 강남구 봉은사로113길 51, GS칼텍스 동호점 (삼성동)",서울특별시 강남구 삼성동 97-1 GS칼텍스 동호점,1,1,0,0,0,0,2,0,0,민간,,상시,,2022-12,37.5185133147,127.0646763158,민간소유-개인,수세식,N,N,없음,N,N,없음,,2022-12-01
1046,개방화장실,법제3조제17호-영제3조제2항제3호,역삼한스빌아파트상가,"서울특별시 강남구 도곡로3길 26 (역삼동, 역삼한스빌아파트)",서울특별시 강남구 역삼동 836 역삼한스빌아파트 상가,2,3,0,0,0,0,2,0,0,민간,,상시,,2023-01,37.4919829893,127.0329559942,민간소유-개인,수세식,Y,N,없음,Y,N,없음,,2022-12-31
1047,개방화장실,법제3조제17호-영제3조제2항제1호,실크캐슬,서울특별시 강남구 도곡로 313 (역삼동),서울특별시 강남구 역삼동 766-17,1,3,1,1,0,0,2,0,0,민간,02-565-1717,상시,,2023-03,37.4956487732,127.0502498129,민간소유-개인,수세식,N,N,없음,N,N,없음,,2023-03-01
1048,개방화장실,법제3조제17호-영제3조제2항제3호,(주)서영제이앤에스,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 (삼성동)",서울특별시 강남구 삼성동 158-12 서영빌딩,2,1,0,0,0,0,1,0,0,민간,,정시,9:00~18:00,,,,민간소유-개인,수세식,Y,N,없음,Y,N,없음,,2023-11-28
1049,개방화장실,법제3조제17호-영제3조제2항제3호,현대2차상가(우성빌딩),"서울특별시 강남구 언주로 107 (개포동, 현대2차아파트)",서울특별시 강남구 개포동 654 현대2차아파트 상가(우성빌딩),1,1,0,0,0,0,1,0,0,민간,,상시,,,,,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,없음,,2022-11-01
1050,개방화장실,법제3조제17호-영제3조제2항제1호,동영문화센터,"서울특별시 강남구 언주로 337, 동영문화센터 (역삼동)",서울특별시 강남구 역삼동 772 동영문화센터,4,4,0,0,0,0,4,0,0,민간,02-559-5114,상시,,,37.4979241922,127.0443565917,민간소유-법인,수세식,N,N,없음,N,N,없음,,2022-11-01
1051,개방화장실,법제3조제16호-영제3조제1항제1호,일원스포츠문화센터,"서울특별시 강남구 영동대로 22 (일원동, 디에이치 자이 개포)",서울특별시 강남구 일원동 743 디에이치 자이 개포,3,3,0,0,0,0,4,0,0,강남구도시관리공단,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,Y,N,없음,,2022-11-01
1052,공중화장실,법제3조제16호-영제3조제1항제1호,포이테니스장,"서울특별시 강남구 개포로28길 47, 구민체육관 (개포동)",서울특별시 강남구 개포동 1271 구민체육관,1,1,0,0,0,0,1,0,0,강남구도시관리공단,,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,없음,,2022-11-01
1053,개방화장실,법제3조제17호-영제3조제2항제3호,에이엔에이빌딩,서울특별시 강남구 논현로 653 (논현동),서울특별시 강남구 논현동 130-29,2,2,0,0,0,0,2,0,0,민간,,정시,08:00~22:00,2023-04,37.5122184281,127.0312217813,민간소유-개인,수세식,N,N,없음,N,N,없음,,2023-04-01
1054,개방화장실,법제3조제17호-영제3조제2항제3호,심스빌딩,"서울특별시 강남구 테헤란로87길 39, 심스빌딩 (삼성동)",서울특별시 강남구 삼성동 153-55 심스빌딩,1,1,0,0,0,0,1,0,0,민간,02-555-6941,정시,06:00~21:00,2023-05,37.5103399869,127.0576427153,민간소유-개인,수세식,Y,Y,여자화장실,N,N,없음,,2023-05-31
1055,개방화장실,법제3조제17호-영제3조제2항제1호,청운교회,"서울특별시 강남구 언주로65길 6, 청운교회 (역삼동)",서울특별시 강남구 역삼동 779-10 청운교회,4,4,3,0,0,0,4,3,0,민간,02-569-7001,상시,,,37.4956642373,127.0452023603,민간소유-법인,수세식,N,N,없음,N,N,없음,,2022-11-01
1056,공중화장실,,세곡해오름근린공원,서울특별시 강남구 세곡동214,,2,1,3,0,0,0,8,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1057,공중화장실,,포이근린공원(출발마당),서울특별시 강남구 개포동428,,1,2,0,0,0,0,2,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1058,공중화장실,,세천근린공원,서울특별시 강남구 세곡동603,,3,3,1,0,1,0,6,1,1,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1059,공중화장실,,세곡근린공원,서울특별시 강남구 세곡동 산50-15,,3,3,1,0,1,0,6,1,1,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1060,공중화장실,,청담근린공원,서울특별시 강남구 청담동 66-3,,1,2,0,0,0,0,3,0,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1061,공중화장실,,일원까치어린이공원,서울특별시 강남구 일원동 712-4,,1,2,0,0,0,1,3,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1062,공중화장실,,예지어린이공원,서울특별시 강남구 개포동 12-7,,1,1,0,0,0,0,3,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1063,공중화장실,,한마음어린이공원,서울특별시 강남구 개포동 12-3,,1,1,0,0,0,1,2,1,1,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1064,공중화장실,,일원장미어린이공원,서울특별시 강남구 일원동 732-4,,2,2,0,0,1,0,5,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1065,공중화장실,,수서개나리어린이공원,서울특별시 강남구 수서동723-1,,1,1,0,0,1,0,2,1,1,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1066,공중화장실,,자연학습장,서울특별시 강남구 일원동 산56,,2,3,0,0,0,0,3,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1067,공중화장실,,유아숲체험장,서울특별시 강남구 일원동 산52-13,,4,3,0,0,0,0,5,0,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1068,공중화장실,,개암약수터,서울특별시 강남구 개포동 산53-40,,1,1,0,0,0,0,1,0,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
